x,y,nominal_x,nominal_y
21.0,12.000092,21.0,31.064999999999998
21.0,12.000092,21.0,31.034
21.0,12.000092,21.0,31.003
21.0,12.000092,21.0,30.972
21.0,12.000092,21.0,30.941000000000003
21.0,12.000092,21.0,30.91
21.0,12.000092,21.0,30.878999999999998
21.0,12.000092,21.0,30.848
21.0,12.000092,21.0,30.817
21.0,12.000092,21.0,30.786
21.0,12.000092,21.0,30.755000000000003
21.0,12.000092,21.0,30.724
21.0,12.000092,21.0,30.692999999999998
21.0,12.000092,21.0,30.662
21.0,12.000092,21.0,30.631
21.0,12.000092,21.0,30.6
21.0,12.000092,21.0,30.569000000000003
21.0,12.000092,21.0,30.538
21.0,12.000092,21.0,30.506999999999998
21.0,12.000092,21.0,30.476
21.0,12.000092,21.0,30.445
21.0,12.000092,21.0,30.414
21.0,12.000092,21.0,30.383000000000003
21.0,12.000092,21.0,30.352
21.0,12.000092,21.0,30.320999999999998
21.0,12.000092,21.0,30.29
21.0,12.000092,21.0,30.259
21.0,12.000092,21.0,30.228
21.0,12.000092,21.0,30.197000000000003
21.0,12.000092,21.0,30.166
21.0,12.000092,21.0,30.134999999999998
21.0,12.000092,21.0,30.104
21.0,12.000092,21.0,30.073
21.0,12.000092,21.0,30.042
21.0,12.000092,21.0,30.011
21.0,12.000092,21.0,29.98
21.0,12.000092,21.0,29.948999999999998
21.0,12.000092,21.0,29.918
21.0,12.000092,21.0,29.887
21.0,12.000092,21.0,29.856
21.0,12.000092,21.0,29.825
21.0,12.000092,21.0,29.794
21.0,12.000092,21.0,29.762999999999998
21.0,12.000092,21.0,29.732
21.0,12.000092,21.0,29.701
21.0,12.000092,21.0,29.67
21.0,12.000092,21.0,29.639
21.0,12.000092,21.0,29.608
21.0,12.000092,21.0,29.576999999999998
21.0,12.000092,21.0,29.546
21.0,12.000092,21.0,29.515
21.0,12.000092,21.0,29.484
21.0,12.000092,21.0,29.453
21.0,12.000092,21.0,29.422
21.0,12.000092,21.0,29.391
21.0,12.000092,21.0,29.36
21.0,12.000092,21.0,29.329
21.0,12.000092,21.0,29.298000000000002
21.0,12.000092,21.0,29.267
21.0,12.000092,21.0,29.236
